MONTH,BLACK,HISPANIC,US,ASIAN,WHITE
2020-01-01,6.1,4.3,3.5,3.1,3
2020-02-01,6,4.4,3.5,2.4,3
2020-03-01,6.8,6,4.4,4.1,3.9
2020-04-01,16.7,18.9,14.8,14.5,14.1
2020-05-01,16.7,17.6,13.3,14.9,12.3
2020-06-01,15.3,14.5,11.1,13.9,10.1
2020-07-01,14.4,12.7,10.2,11.9,9.2
2020-08-01,12.8,10.5,8.4,10.6,7.4
2020-09-01,12,10.3,7.8,8.8,7
2020-10-01,10.8,8.8,6.9,7.6,6
2020-11-01,10.3,8.4,6.7,6.7,6.9
2020-12-01,9.9,9.3,6.7,5.9,6
2021-01-01,9.2,8.6,6.3,6.6,5.7
2021-02-01,9.9,8.5,6.2,5.1,5.6
2021-03-01,9.6,7.9,6,6,5.4
2021-04-01,9.7,7.9,6.1,5.7,5.3
