"","age_grouping","activity_grouping","count","totals","percentage"
"1","20 to 34","Between 10 and 12 hours",11548,44403,0.260072517622683
"2","20 to 34","Between 4 and 6 hours",1744,44403,0.0392766254532351
"3","20 to 34","Between 6 and 8 hours",7846,44403,0.176699772537892
"4","20 to 34","Between 8 and 10 hours",17084,44403,0.384748778235705
"5","20 to 34","Less than 4 hours",378,44403,0.00851293831497872
"6","20 to 34","More than 12 hours",5803,44403,0.130689367835507
"7","35 to 54","Between 10 and 12 hours",18242,83460,0.218571770908219
"8","35 to 54","Between 4 and 6 hours",3466,83460,0.0415288761083154
"9","35 to 54","Between 6 and 8 hours",18568,83460,0.222477833692787
"10","35 to 54","Between 8 and 10 hours",34791,83460,0.41685837526959
"11","35 to 54","Less than 4 hours",699,83460,0.00837526959022286
"12","35 to 54","More than 12 hours",7694,83460,0.0921878744308651
"13","55+","Between 10 and 12 hours",19506,78534,0.2483764993506
"14","55+","Between 4 and 6 hours",2691,78534,0.0342654137061655
"15","55+","Between 6 and 8 hours",14246,78534,0.181399139226322
"16","55+","Between 8 and 10 hours",32671,78534,0.416010899737693
"17","55+","Less than 4 hours",551,78534,0.00701606947309446
"18","55+","More than 12 hours",8869,78534,0.112931978506125
"19","Under 20","Between 10 and 12 hours",3853,12971,0.297047259270681
"20","Under 20","Between 4 and 6 hours",323,12971,0.0249017038007864
"21","Under 20","Between 6 and 8 hours",1427,12971,0.110014648061059
"22","Under 20","Between 8 and 10 hours",3965,12971,0.305681905789839
"23","Under 20","Less than 4 hours",56,12971,0.00431732325957906
"24","Under 20","More than 12 hours",3347,12971,0.258037159818056
